Card name,Set code,Set name,Card number,Foil,rarity,quantity,Scryfall ID
Bilbo's Deadly Slice,hob,The Hobbit,62,non foil,common,1,17892c93-b9b2-4720-933b-998ed0200492
"Bofur, guardián fidedigno",hob,The Hobbit,,foil,uncommon,1,baa9aa2f-9f7f-4831-a9a6-1d4c592b71d2
"Bofur, guardián fidedigno",hob,The Hobbit,,non foil,uncommon,3,db665a9d-fe9c-4c65-80df-8208020bee81
"Bofur, Reliable Guardian",hob,The Hobbit,6,non foil,uncommon,1,6b8e6435-7de4-41d5-bc7d-8e24c11897d0
Bolg of the North,hob,The Hobbit,148,non foil,uncommon,1,7b2d2a7f-88e0-45a9-8579-a6736bcd66eb
"Bombur, Gentle Dreamer",hob,The Hobbit,88,non foil,uncommon,2,63c317e7-432c-4817-8db4-3670a1d84be3
"Bombur, soñador apacible",hob,The Hobbit,,non foil,uncommon,1,70f64300-601a-48ed-bbb6-7ec2a7ab4be5
Bosque Negro,hob,The Hobbit,,non foil,common,1,afe879d3-5139-43c5-81de-d4988fbae072
"Burn, Burn, Tree and Fern",hob,The Hobbit,90,non foil,uncommon,1,fceb1a2d-121e-49ad-acf2-1bb5aebec116
Cachorro de huargo,hob,The Hobbit,,non foil,common,1,0aea2bab-6a64-4941-a498-5d225a921295
Caída furiosa sobre el valle,hob,The Hobbit,,foil,common,1,56cf62c5-2cc9-43cc-aee1-8162efde6e76
Caída furiosa sobre el valle,hob,The Hobbit,,non foil,common,2,56cf62c5-2cc9-43cc-aee1-8162efde6e76
Carcelero del Reino de la Tierra,tla,Avatar: The Last Airbender,,non foil,uncommon,1,245b8599-8c87-4c2a-ac73-2e5c4ac5877e
Cayado planeador,tla,Avatar: The Last Airbender,,non foil,uncommon,1,dd64220c-9959-41e8-8d32-41efd63c47ea
Cazador vigilaocasos,hob,The Hobbit,,non foil,common,1,c868af35-6a4d-4ca6-ac9a-30f518afdb6d
Cazadores del Pantano Neblinoso,tla,Avatar: The Last Airbender,,non foil,common,1,2726a5d9-1c42-4246-be46-89e0229c578c
Cazarrecompensas de los Beifong,tla,Avatar: The Last Airbender,,non foil,rare,1,f31771c4-722e-4bc5-a642-0e6ea4ff43e9
Celebrate the Mountain-king,hob,The Hobbit,7,non foil,uncommon,1,42fbd61d-e1a6-465d-b1a3-f5ee0869d3af
Centinelas del Porche Principal,hob,The Hobbit,,non foil,common,1,f4119355-efc2-4e5e-a5d0-02ddd34631cb
Ciudad del Lago,hob,The Hobbit,,foil,common,1,9fe8575a-5141-47b5-9092-d130b69231be
Ciudad del Lago,hob,The Hobbit,,non foil,common,3,9fe8575a-5141-47b5-9092-d130b69231be
Colmillos que rechinan,hob,The Hobbit,,non foil,uncommon,1,048f544c-cb65-4304-ac99-b40ec455cc57
Cómo empezar un motín,tla,Avatar: The Last Airbender,,non foil,common,1,f78e400a-a94d-4cdc-b8e9-22970805d41d
Confusticate and Bebother,hob,The Hobbit,35,non foil,common,3,9de48690-e5ae-495a-addf-305f1db7ec21
Consejeros del gobernador,hob,The Hobbit,,non foil,uncommon,1,ea29ed59-d4d1-441e-a38c-38cd4612fe2f
Corte mortífero de Bilbo,hob,The Hobbit,,non foil,common,1,b424bb5b-96f2-465c-87da-05a45114d109
Crude Bent Blade,hob,The Hobbit,63,non foil,common,4,fa8fd3c4-bd00-485d-80b1-2b67f5786fce
Cueva hobbit,hob,The Hobbit,,non foil,common,1,005b97ea-f4c3-485d-bfcc-31709872814d
Cuidadora del Bosque Negro,hob,The Hobbit,,non foil,common,1,d3c2d162-df5e-45ff-adeb-ab5d65fc262c
"Dáin, Lord of the Iron Hills",hob,The Hobbit,8,non foil,uncommon,1,99d27749-d16c-45e9-accc-6a01351c17f9
"Dáin, señor de las Colinas de Hierro",hob,The Hobbit,,non foil,uncommon,1,10e472d3-8874-40e3-9765-33779560c641
Dáin's Company,hob,The Hobbit,152,non foil,rare,1,36db4405-8589-481f-b627-f26087488337
Dáin's Company,hob,The Hobbit,212,non foil,rare,1,323f7ae8-9247-479e-aead-f46018a3d81d
Desert Were-Worm,hob,The Hobbit,92,non foil,rare,1,fc12c22a-11ff-4fb0-bc42-dd8490b8efb7
Desertores de Jeong Jeong,tla,Avatar: The Last Airbender,,foil,common,1,78665b37-94bf-44ca-b145-2ba10d1b75c3
Desertores de Jeong Jeong,tla,Avatar: The Last Airbender,,non foil,common,3,78665b37-94bf-44ca-b145-2ba10d1b75c3
Desolation Prowler,hob,The Hobbit,64,non foil,uncommon,1,63c87009-ff1b-44b9-88b1-e26219094c67
Días perdidos,tla,Avatar: The Last Airbender,,non foil,common,1,73514ce6-7d09-4111-aca0-d58644926af2
"Dori, Bearer of Friends",hob,The Hobbit,94,non foil,common,2,d2f60ad0-c887-4585-85f8-afcf72fb80d0
"Dori, portador de amigos",hob,The Hobbit,,non foil,common,1,b65e92b0-b5c0-4df0-9fd9-56b00e5451e8
Down,dgm,Dragon's Maze,126,non foil,uncommon,2,c35c63c1-6344-4d8c-8f7d-cd253d12f9ae
Dragon-Cursed Halls,hoc,The Hobbit Eternal,8,non foil,rare,1,506b9df7-8236-4c6e-aebc-6b7e6fcd7e88
Dreaded Bat-Cloud,hob,The Hobbit,66,non foil,uncommon,1,67d52db5-597e-46d5-af39-c3a2de107d30
Duskwatch Hunter,hob,The Hobbit,153,non foil,common,2,3685c783-d837-4466-a960-ab3098db64c3
"Dwalin, maestro de armas",hob,The Hobbit,,non foil,rare,1,8f1b024a-4084-43b0-a4d9-a420c0f458f5
Dwarven Mauler,hob,The Hobbit,95,non foil,uncommon,1,bd0f0415-43af-4f5d-8999-853c5d42780d
Dwarven Provisioner,hob,The Hobbit,9,non foil,common,1,1f9a61a1-454e-4d5b-a6dd-1a79fe9dedf3
Dwarven Shortsword,hob,The Hobbit,10,non foil,common,2,f2341cf3-4d2c-4a4f-9aea-8834104a8910
Eagle of the Great Shelf,hob,The Hobbit,11,non foil,uncommon,2,3feca644-5f65-4477-bbc8-d505cec6f3a5
Eagle's Rescue,hob,The Hobbit,155,non foil,uncommon,1,12c8f2cc-ac9d-4cf6-9025-efe366b4e07f
El Gran Trasgo,hob,The Hobbit,,non foil,rare,1,d5f6bb34-256c-4e65-97d2-c1d56c5d9489
El último Agni Kai,tla,Avatar: The Last Airbender,,foil,rare,1,6f642a82-9104-4b0f-b973-41b5f9e5f287
Elfo timonel de la balsa,hob,The Hobbit,,non foil,uncommon,1,24997b83-b8c6-4c21-8e4d-e8e19b39f209
Elfos del bosque,hob,The Hobbit,,non foil,common,1,66181cfa-bae3-49ce-8f65-5b828653cf81
Elven Raft-Steerer,hob,The Hobbit,37,non foil,uncommon,1,c141695c-c108-41d5-85cb-1f7485d9d533
Elvenking's Halls,hob,The Hobbit,182,non foil,common,1,cd477096-41b1-4907-9cb3-852cb22c9ba2
Elvenking's Harper,hob,The Hobbit,38,non foil,common,2,9c50656d-c74a-4e90-9ef7-afa237682516
Enano proveedor,hob,The Hobbit,,non foil,common,1,b887379f-ba5e-4ab2-a152-591cb9d50fe0
Enchanted River's Grasp,hob,The Hobbit,39,non foil,common,3,ad40a4b9-9fab-49c1-8e9f-6e0776966833
Enorme oso gigante,hob,The Hobbit,,non foil,rare,1,a7af2ff2-1b39-4b3b-8cc9-123b78754b17
Equipo Avatar,tla,Avatar: The Last Airbender,,foil,uncommon,1,42a27126-11a3-4d1d-8202-08fc1676a681
Esgaroth Garrison,hob,The Hobbit,13,non foil,common,1,573f67b0-6ce8-4857-a703-4a5728640736
Espada corta de los enanos,hob,The Hobbit,,foil,common,1,cf3d7a2a-1b3a-4666-8613-6f464507a065
Espada corta de los enanos,hob,The Hobbit,,non foil,common,3,cf3d7a2a-1b3a-4666-8613-6f464507a065
Estudiante del control del fuego,tla,Avatar: The Last Airbender,,non foil,rare,1,cd32b10a-db93-4633-a828-65e81753b1cd
Falsos pentacélicos,tla,Avatar: The Last Airbender,,non foil,common,2,f5e3f3e2-71a3-4612-937c-e174d4d068ec
Fans del Avatar,tla,Avatar: The Last Airbender,,non foil,common,1,00a2d1b6-8e0c-4836-8bd2-d33aaf725655
"Flopsie, amigo de Bumi",tla,Avatar: The Last Airbender,,non foil,uncommon,1,2981c32c-a7a0-4c46-ac0d-fb6c980bac2b
Fondo del Pantano Neblinoso,tla,Avatar: The Last Airbender,,non foil,common,1,862f5bf3-3dcd-4418-9d3e-781ea27c3034
Forma Pulpo,tla,Avatar: The Last Airbender,,non foil,common,1,595d7e80-ca77-47aa-b09d-9a5e470f3ea0
Front Porch Sentries,hob,The Hobbit,67,non foil,common,1,07bfc803-e11b-47ab-9f25-0ace7e174200
Furia de Smaug,hob,The Hobbit,,non foil,common,1,c70a757c-6a20-4f54-88c4-9d61a6488ff9
Fustigar y condenar,hob,The Hobbit,,non foil,common,1,f970fd2b-25ab-4d98-add2-9c905a34ba2b
"Galion, Elvenking's Butler",hob,The Hobbit,125,non foil,uncommon,2,985bd676-58c4-42c7-a570-1b413e9aa94c
"Gandalf, mago errante",hob,The Hobbit,,non foil,common,1,110b38fb-d873-4188-bcf8-3d002430c7c5
"Gandalf, prendechispas",hob,The Hobbit,,non foil,uncommon,1,435af085-95d3-40b6-86bb-76fda78d75f6
"Gandalf, Spark Starter",hob,The Hobbit,97,non foil,uncommon,1,7c5c6f1c-35cf-4172-b5a1-b73222b0723b
"Gandalf, Wandering Wizard",hob,The Hobbit,41,non foil,common,2,1f8403a2-849c-4a59-b0ed-c8803995028d
Getaway Barrel,hob,The Hobbit,98,non foil,rare,1,e4819aa6-5d28-4a37-942d-89523e30c4e1
Giant's Boulder,hob,The Hobbit,173,non foil,common,1,ce254758-c928-4b43-a952-13fac1845668
Gigantic Big Bear,hob,The Hobbit,126,non foil,rare,2,7d6ece3d-8e7a-41ad-974f-3c9748de4825
Glóin el Formidable,hob,The Hobbit,,non foil,uncommon,1,17c0e43c-53fe-4780-b5f7-402675f1a7d3
Glóin the Mighty,hob,The Hobbit,99,non foil,uncommon,1,5793b8eb-2fc5-454d-8fa2-20346fef167a
Goblin-town,hob,The Hobbit,183,non foil,common,3,d76df9d0-56cf-4351-a5e8-e6ae6fc791d1
Goblin-town Flunkies,hob,The Hobbit,100,non foil,common,2,ccff7382-8609-494c-aeee-cd1436456dd0
Gollum the Abandoned,hob,The Hobbit,72,non foil,uncommon,2,50d91ef3-6f5d-4255-8d47-be731b5dad30
"Gollum, Riddle Master",hob,The Hobbit,70,non foil,mythic,1,bbdc7e37-c65a-497a-92b7-a30a6e369c71
"Gollum, Silent Slinker",hob,The Hobbit,71,non foil,common,2,6cfaa182-3fec-4907-8814-b4d29c33cec3
Great Fierce Bee,hob,The Hobbit,73,non foil,common,3,9d9ef88f-d208-4788-9553-cd672b3be1fe
Great Ugly-Looking Goblin,hob,The Hobbit,74,non foil,uncommon,1,c87f6004-e1cf-42b2-9647-322bc4939339
Guardian of the Halls,hob,The Hobbit,127,non foil,common,1,4265caec-8c28-44cd-8e6b-90b5af926d3c
Guardiana espiritual del Pantano Neblinoso,tla,Avatar: The Last Airbender,,non foil,uncommon,1,515fc4af-d955-48bd-9c8c-a072ef3ae9fc
Guerreras Kyoshi,tla,Avatar: The Last Airbender,,non foil,common,2,88551d70-b75c-4723-8c66-d1c8144160ea
Gundabad Opportunist,hob,The Hobbit,101,non foil,common,3,bc4a60b8-a5bb-4dbf-8d48-95caf757eac3
Head of the Hunt,hob,The Hobbit,75,non foil,rare,2,3ffe34d4-72f4-4562-a948-8909b9321e59
Hobbit Hole,hob,The Hobbit,184,non foil,common,4,0365c439-30bf-4d32-a791-166751bdb996
Hojas gemelas,tla,Avatar: The Last Airbender,,non foil,uncommon,1,e1324930-6a14-4695-a5e7-53f0b577ef19
Huargo insaciable,hob,The Hobbit,,foil,common,1,e0e8df9b-3a6d-4f5b-97f9-f2ebf0dd280d
Huargo insaciable,hob,The Hobbit,,non foil,common,3,e0e8df9b-3a6d-4f5b-97f9-f2ebf0dd280d
Instructor paciente,hob,The Hobbit,,non foil,common,1,66080038-da2e-477f-bdfa-c637c0855614
Inversión del maestro del aire,tla,Avatar: The Last Airbender,,non foil,uncommon,1,52505a12-29bf-4532-9ced-644ec82e0d2c
Ira del Avatar,tla,Avatar: The Last Airbender,,non foil,rare,1,e634b0cf-86c7-4850-95cf-80ef57afb6fc
Iron Hills Stalwart,hob,The Hobbit,102,non foil,common,1,46daa9ac-0ac7-4df9-b9d2-e03ab5b56c72
"Jeong Jeong, el desertor",tla,Avatar: The Last Airbender,,non foil,uncommon,1,41dd58f5-bcc9-47a2-ae31-dafdae8a46bf
"Joo Dee, una de muchas",tla,Avatar: The Last Airbender,,non foil,uncommon,1,ed40f974-2784-49d7-9c94-3b9347315719
Juerguista silvana,hob,The Hobbit,,non foil,uncommon,1,ba8f5532-3eea-474f-bff3-64b3ad386871
Juramento a Erebor,hob,The Hobbit,,non foil,common,1,32b101e6-1a07-43d8-a617-ee27dacc9342
Key to the Side-Door,hob,The Hobbit,175,non foil,uncommon,1,898c14a2-d897-4341-83ed-eee666df9648
La Montaña Solitaria,hob,The Hobbit,,non foil,rare,1,451ecff2-3732-42d2-89ae-afef57ef47a9
La Piedra del Arca,hob,The Hobbit,,non foil,mythic,1,04e8410f-5a61-41c0-8af4-86a37fd27897
Lacayos del pueblo de trasgos,hob,The Hobbit,,non foil,common,1,31c4bccf-c639-4b81-b3ca-8a29cde6f8aa
Lagarto mangosta,tla,Avatar: The Last Airbender,,non foil,common,1,dfcbaa67-db6f-4308-8bf0-49aacb3768d6
Lake-town,hob,The Hobbit,186,non foil,common,2,2fbd0584-81a7-4c47-8af1-1c8635899a97
Lake-town Lookout,hob,The Hobbit,18,non foil,common,2,178c4cf6-6b11-40e4-9673-c560d6818a6b
Lake-town Mariners,hob,The Hobbit,44,non foil,uncommon,1,4202a678-a5f4-47f9-9c18-e88ab9ad20a4
Lake-town Toymaker,hob,The Hobbit,19,non foil,uncommon,1,67304269-c595-4cf0-8dbf-fcb2e9e01fe2
Lakeshore Apothecary,hob,The Hobbit,43,non foil,common,3,abfbb255-a39b-4df5-bfb6-5298584e89f0
Lanza corta y tosca,hob,The Hobbit,,non foil,common,1,2395d896-6e3f-4e67-8541-f8714861e9d0
Large Bear,hob,The Hobbit,159,non foil,uncommon,2,50202288-f433-4b56-8f60-349bda7b4f6b
Lección de control del agua,tla,Avatar: The Last Airbender,,non foil,common,1,3c72df10-8f16-4c24-8157-37cc09783035
Lección de control del aire,tla,Avatar: The Last Airbender,,non foil,common,1,fece2c71-4348-4b81-b865-13a2ab2f0cfb
Lección de control del fuego,tla,Avatar: The Last Airbender,,non foil,common,1,111031dc-e7e2-48f7-8d24-b3d12f906cd1
Little Bear,hob,The Hobbit,128,non foil,common,3,8a50858a-33b5-4c45-9c31-5956ae5a33a6
Lluvia de piñas,hob,The Hobbit,,non foil,common,1,2bc17680-6dd6-47e8-98af-bf3872f170cb
Long-Bodied Grey Dog,hob,The Hobbit,1,non foil,common,2,d1a1e520-1fe2-4529-8afb-c187bb80da3c
Loro iguana,tla,Avatar: The Last Airbender,,non foil,common,1,19596298-e5ea-4405-be8c-9d034755a796
Los Sacovilla-Bolsón,hob,The Hobbit,,non foil,rare,1,e2315c72-f6e0-4fc2-abbe-267106545618
Luchadores de Rugidos de la Tierra,tla,Avatar: The Last Airbender,,non foil,common,1,60630ef8-fcf0-44dd-9a67-76044b04accf
Maestra del agua flexible,tla,Avatar: The Last Airbender,,non foil,common,1,e34e9734-a3c7-4a3e-91ae-1604ce2f41dd
Magnificent End,hob,The Hobbit,20,non foil,common,2,430c8916-1167-400b-9cad-d301f59d5e5d
Malla de placas trasga,hob,The Hobbit,,non foil,common,1,a2eb91d9-68d4-4129-a50a-6511e80d4848
Manada de canguconejos,tla,Avatar: The Last Airbender,,non foil,common,1,f8d0779b-36be-435b-9b76-cf5a251e10b0
Maniobra ingeniosa,tla,Avatar: The Last Airbender,,non foil,common,1,e7e49e12-0cb9-45c9-94bf-440ca5f9e7dc
Master's Councillors,hob,The Hobbit,47,non foil,uncommon,2,addcefdd-e012-4adf-9052-e60376a8d2d3
Matones de la aldea de la Tierra,tla,Avatar: The Last Airbender,,non foil,common,1,c6186f9f-89b4-4afe-83df-636cebba756e
Meditadora del Bosque Negro,hob,The Hobbit,,non foil,common,1,3725c8cf-947a-4601-ba08-0cb393f2d782
Mercader asombreroso,tla,Avatar: The Last Airbender,,non foil,common,1,d28e1f5c-f0b3-48a5-8820-e81e62eb92ec
Mercaderes de los escarabajos,tla,Avatar: The Last Airbender,,non foil,common,1,5f5a7188-dc5d-492c-9e51-989ce59e9182
Mirkwood,hob,The Hobbit,188,non foil,common,1,612cf954-f86c-4629-99df-4874d56fded3
Mirkwood Meditator,hob,The Hobbit,48,non foil,common,2,ad7ed4e6-3fe2-40f1-909b-a03b2a3c941a
Mirkwood Nurturer,hob,The Hobbit,160,non foil,common,3,704b45e4-566e-40f6-a33a-9151018b44e5
Mirkwood Pathmaker,hob,The Hobbit,129,non foil,uncommon,1,50fbedc0-bc66-4ffb-87f6-a2df69995091
Misty Mountains Raider,hob,The Hobbit,105,non foil,uncommon,3,6dff14cd-b60b-48f4-9d9f-c9019b55df4c
Molestia del Lago Largo,hob,The Hobbit,,non foil,common,1,63a97a0a-9691-4847-97c8-bee3815004ad
Moment of Glory,hob,The Hobbit,21,non foil,common,3,0a6a6ff0-b1cd-4b06-bd31-612690094e0e
Momento de gloria,hob,The Hobbit,,non foil,common,1,af5e915e-f322-4d36-9a31-e6b374b56665
"Momo, mascota juguetona",tla,Avatar: The Last Airbender,,non foil,uncommon,1,f2a279c2-b2d3-404d-a714-4970757025aa
Mono cerdo,tla,Avatar: The Last Airbender,,non foil,common,1,d64582e8-273f-481f-8deb-98a17cd9ce71
Most Decrepit Old Bird,hob,The Hobbit,221,non foil,rare,1,9093b067-e18e-4a6a-b4a6-cd67bcd4d5a7
Nave aérea de la flota del Fénix,tla,Avatar: The Last Airbender,,non foil,mythic,1,2a16020e-fedd-4758-9767-3e12364a3297
Niños con planeadores,tla,Avatar: The Last Airbender,,non foil,common,1,73ee5dcd-7dbe-4d96-a1ea-a9f39b5859ac
"Nori, Teller of Tales",hob,The Hobbit,161,non foil,common,1,b05adb48-980c-49a0-9ce6-7c7f3f20715d
Noticias de guerra,hob,The Hobbit,,non foil,common,1,a72c2d79-2a3d-4e6d-8ad7-43c4f2de932e
Oasis de Palmeras Húmedas,tla,Avatar: The Last Airbender,,non foil,common,1,ff27dcb8-4c60-45b5-9c6c-a724b721a1e9
Odre de maestra,tla,Avatar: The Last Airbender,,non foil,common,1,b6a5b8f7-0516-4455-ab4c-6711855897d0
Oficial del juzgado corrupto,tla,Avatar: The Last Airbender,,non foil,common,1,ec419bf6-2105-47d5-b720-1e937cf81f37
Óin el Bravo,hob,The Hobbit,,non foil,common,1,f8e80fc3-9c11-40d0-b8c5-2d141c2672eb
Óin the Brave,hob,The Hobbit,106,non foil,common,2,9984b9ef-e81c-48f4-aa33-0504171a2d3c
Old Fat Spider,hob,The Hobbit,132,non foil,uncommon,1,e0c0f842-40fe-4776-a988-a35216bcfd47
Old Fat Spider Can't See Me,hob,The Hobbit,50,non foil,uncommon,1,4a865cea-f947-4736-8ace-ba478fceeb22
Old Thrush,hob,The Hobbit,2,non foil,common,1,3ad02b56-13ec-46ef-92bd-ae078b8bb517
Oportunista de Gundabad,hob,The Hobbit,,non foil,common,1,908daa5b-e15b-46ae-a826-8e3d021af97c
Ordinary Bear,hob,The Hobbit,133,non foil,common,4,0feb9817-56e1-465a-851c-b2fe202aa8ae
"Ori, Keeper of Songs",hob,The Hobbit,23,non foil,common,2,c5727af5-a487-4b16-8278-81c3c928c417
"Ori, preservador de canciones",hob,The Hobbit,,non foil,common,1,b453963d-9d70-44c7-b73d-dcc46ff5ed66
Origen del control del metal,tla,Avatar: The Last Airbender,,non foil,common,1,364608eb-7fab-4617-a63e-e6f4905a3a62
Oscuridad congregada,hob,The Hobbit,,non foil,uncommon,1,465453e6-448f-4204-a044-ae7935de9ad9
Oso normal,hob,The Hobbit,,non foil,common,1,7f1663d2-b82b-48b2-afaa-ce237691dc7b
Oso ornitorrinco,tla,Avatar: The Last Airbender,,non foil,common,1,231ab871-9aa0-4dd5-9f8e-51516cd83abb
Oso pequeño,hob,The Hobbit,,non foil,common,1,e9bfa04e-f345-427d-99a7-ccd52d46043f
Paseantes de la enramada,hob,The Hobbit,,non foil,common,1,98b9fb72-4ba7-444e-b071-11f1998cf710
Patient Instructor,hob,The Hobbit,162,non foil,common,4,e4800508-8bb9-41bb-8712-b55fba7a80a5
Pato tortuga,tla,Avatar: The Last Airbender,,non foil,common,1,84b8acac-e6d9-41c6-89c3-c6d5d0964c3a
Perro grande de pelambre gris,hob,The Hobbit,,non foil,common,1,f93b57c8-02ae-4cad-97ba-e4624d7e44be
Pico de los enanos,hob,The Hobbit,,non foil,uncommon,1,dd78c8b1-9500-4593-a316-be0e20b1f295
Pinecone Strike,hob,The Hobbit,107,non foil,common,2,ea174cea-40e5-424e-9734-e39aae6c6b17
Plunder the Trollshaws,hob,The Hobbit,51,non foil,common,2,afb73190-b9bd-4744-a011-a37cd9c0148d
Por la entrada del bosque,hob,The Hobbit,,non foil,rare,1,3262a759-6b35-4ebf-bfb5-25c89854e068
Portones del polo norte,tla,Avatar: The Last Airbender,,non foil,common,1,503d0dcb-838d-454e-863e-25d96fe37d39
Prisión de la Roca Hirviente,tla,Avatar: The Last Airbender,,foil,common,1,be7600f0-e755-491a-8625-598d43f9a1bb
Prisioneros rebeldes,tla,Avatar: The Last Airbender,,non foil,common,1,b2270c00-9f75-462f-9f47-d7d5c02d71d5
Producción de isla Ascua,tla,Avatar: The Last Airbender,,non foil,uncommon,1,d635f423-19e8-4b34-b3a1-b450c091869e
Pueblo de Kyoshi,tla,Avatar: The Last Airbender,,non foil,common,1,8666256e-fe16-4b9c-9ebb-b1ce45cfb3cb
Puñal curvo rudimentario,hob,The Hobbit,,non foil,common,1,4c91120e-4d82-4f31-b80b-8108324dfc36
Quarrel,hob,The Hobbit,135,non foil,common,2,5900a0b4-aa89-4019-94c9-7e9ea3b4792e
Que ardan árboles y helechos,hob,The Hobbit,,non foil,uncommon,1,607c70fe-690a-403a-bf8f-19aaf41d7664
Rage into the Valley,hob,The Hobbit,200,non foil,common,2,349d7464-e778-4a24-a528-d31d36ff4799
Raíces compartidas,tla,Avatar: The Last Airbender,,foil,uncommon,1,d9ec7c01-ce45-4de6-acb3-d207e77ab974
Raíces compartidas,tla,Avatar: The Last Airbender,,non foil,uncommon,3,d9ec7c01-ce45-4de6-acb3-d207e77ab974
Rapiñador de las Tierras Salvajes,hob,The Hobbit,,non foil,uncommon,1,2cbf7a1c-1aaf-4089-8456-67523ca472d1
Ravening Warg,hob,The Hobbit,80,non foil,common,3,ea7b5052-b343-466d-879e-2a211657ef0a
Represalia rocosa,tla,Avatar: The Last Airbender,,non foil,common,1,eae5b661-95d0-4f9a-b665-0dc4e9a84fa1
Rescate del águila,hob,The Hobbit,,non foil,uncommon,1,074c51af-ce17-4614-9a56-9eac895628ee
Revelaciones del solsticio,tla,Avatar: The Last Airbender,,non foil,uncommon,1,f001dd07-bd69-4df8-8c60-0be1d5468899
Reverent Howl,hob,The Hobbit,81,non foil,common,1,16765eb2-d497-4cd6-b683-20eac2f10bbf
Revoltosos peleando con nieve,tla,Avatar: The Last Airbender,,foil,common,1,fe7a3517-e17f-48e6-8b12-88a55a2e668f
Roca del gigante,hob,The Hobbit,,non foil,common,1,d643513a-0245-43bc-87d1-f78165255d57
Roll-Roll-Roll-Roll,hob,The Hobbit,54,non foil,rare,1,a2e4099e-86bd-461f-87fa-7f7850ae7eec
Rugidos de la Tierra,tla,Avatar: The Last Airbender,,non foil,uncommon,1,046b2650-a2b3-4825-a504-828b337a3993
Sabios del fuego,tla,Avatar: The Last Airbender,,non foil,uncommon,1,e3663e70-7909-404a-bdcf-7a03853a04d1
Salón de té Dragón de Jazmín,tla,Avatar: The Last Airbender,,non foil,rare,1,7c4ee3b5-c5d4-4461-9319-9c777501ad9e
